ticker,earnings_date,momentum_7d,volume_spike,volatility_7d,market_return_7d,5d_return,label,sentiment_score,buzz_score,sentiment_slope,sentiment_polarity,n_headlines,transcript_sentiment,predicted,actual_return,correct
DE,2022-08-19,0.0490977040154212,1.4129696928783329,0.0138447439562281,0.0051190854657058,0.0262941683374393,1,0.0,100.0,0.0,0.0,100,0.306,1,0.0263,1
FRO,2022-08-25,0.0279722240145758,1.0328886428845765,0.03427178062747,-0.0237141965932313,-0.0085036706309518,0,0.0,100.0,0.0,0.0,100,0.5428,1,-0.0085,0
PEP,2022-10-12,0.0250529040345756,0.9096509051458622,0.019465541282068,-0.0274134866478989,0.0234369501845284,1,0.0,100.0,0.0,0.0,100,0.5428,1,0.0234,1
KEX,2022-10-24,0.0195868218696862,1.0205326158024444,0.0263772576792629,0.0352486282568386,0.0468257973164179,1,0.0,100.0,0.0,0.0,100,0.4256,1,0.0468,1
ADM,2022-10-25,0.0930681983311791,0.9413014505630348,0.0125304414185236,0.0763079254666649,0.0701118818932618,1,0.0,100.0,0.0,0.0,100,-0.1688,1,0.0701,1
SHEL,2022-10-27,0.0888412316636142,0.6853194182259363,0.018262768747197,0.0238461890431873,-0.0049990223233431,0,0.0,100.0,0.0,0.0,100,0.2653,1,-0.005,0
CAT,2022-10-27,0.1634948184714722,0.972694508829639,0.0343437368307583,0.0238461890431873,0.0335627721756523,1,0.0,100.0,0.0,0.0,100,-0.9084,0,0.0336,0
HON,2022-10-27,0.0923392620817032,1.1801840718067929,0.0162770023478356,0.0238461890431873,0.0402059157234543,1,0.0,100.0,0.0,0.0,100,0.5428,1,0.0402,1
CVX,2022-10-28,0.0713095798980426,0.9211900096694748,0.0080561023970202,0.0556852698485432,0.0191134275659869,1,0.0,100.0,0.0,0.0,100,0.7696,1,0.0191,1
NEE,2022-10-28,0.073193714953549,0.9126599421787172,0.0291215221979019,0.0556852698485432,-0.0029101185889314,0,0.0,100.0,0.0,0.0,100,-0.9084,0,-0.0029,1
XOM,2022-10-28,0.0665769376606697,0.8616904053997844,0.0118917993193319,0.0556852698485432,0.0145436799270776,1,0.0,100.0,0.0,0.0,100,-0.7635,1,0.0145,1
2222.SR,2022-11-01,-0.0452054375008747,1.5019150330692526,0.0100477741312466,0.0273316078556285,0.001434707840191,1,0.0,100.0,0.0,0.0,100,0.0506,1,0.0014,1
CF,2022-11-02,-0.0092192028441092,1.0273979644289093,0.0261873766938629,-0.0105577569522945,0.0144422617644238,1,0.0,100.0,0.0,0.0,100,-0.6332,1,0.0144,1
NTR,2022-11-02,0.0501139353282917,1.0620296278847283,0.0288902642469341,-0.0105577569522945,-0.1024343523190798,0,0.0,100.0,0.0,0.0,100,0.7668,0,-0.1024,1
LNG,2022-11-03,0.0459001466008383,0.7956369788684855,0.0137456900102022,-0.0361372269975838,-0.0527780571443257,0,0.0,100.0,0.0,0.0,100,-0.3662,1,-0.0528,0
DUK,2022-11-04,0.0308334518183636,0.8227185832342081,0.0138654739844325,-0.014842047086766,0.0166648400788038,1,0.0,100.0,0.0,0.0,100,0.5428,1,0.0167,1
DE,2022-11-23,0.075146087635671,1.1427148098828352,0.0191633159608148,0.0184756154316216,0.0098054571148051,1,0.0,100.0,0.0,0.0,100,-0.6332,0,0.0098,0
FRO,2022-11-30,-0.0328671866259634,1.4908303158750889,0.0385218346310369,0.0294170373314525,-0.1099060482343269,0,0.0,100.0,0.0,0.0,100,0.4256,0,-0.1099,1
NEE,2023-01-25,-0.0955358916591167,1.404860666803403,0.0355324966409675,0.0046422510188275,-0.0306829987433244,0,0.0,100.0,0.0,0.0,100,0.769,0,-0.0307,1
ADM,2023-01-26,-0.0362128104884735,1.2910854970387542,0.0156721312589593,0.0175476351548455,-0.0305065828556452,0,0.0,100.0,0.0,0.0,100,0.2348,0,-0.0305,1
CVX,2023-01-27,0.0125262527066285,1.3697385511593494,0.0277354776350626,0.0362460741124306,-0.0557259653949528,0,0.0,100.0,0.0,0.0,100,-0.68,0,-0.0557,1
KEX,2023-01-31,0.1101003864893901,1.1030884431479868,0.0350410128543379,0.0267758421237074,0.0394179282798097,1,0.0,100.0,0.0,0.0,100,-0.4845,1,0.0394,1
CAT,2023-01-31,0.0103319368406964,0.998866682526867,0.0190318112369686,0.0267758421237074,-0.0104244701703454,0,0.0,100.0,0.0,0.0,100,0.769,0,-0.0104,1
XOM,2023-01-31,0.0234672257589079,1.2747470938100272,0.021539058958507,0.0267758421237074,-0.0093958274431881,0,0.0,100.0,0.0,0.0,100,0.0565,0,-0.0094,1
HON,2023-02-02,0.0021747377000467,1.164706259571716,0.0098652696457897,0.041429303699235,-0.0393481341481489,0,0.0,100.0,0.0,0.0,100,0.2732,1,-0.0393,0
SHEL,2023-02-02,-0.006207992387603,1.022427265993367,0.0081544631639008,0.041429303699235,0.0374805584455559,1,0.0,100.0,0.0,0.0,100,0.1234,1,0.0375,1
PEP,2023-02-09,0.0102911405350677,1.2656874564769909,0.0087311578148848,0.001500461282789,0.0158004161685577,1,0.0,100.0,0.0,0.0,100,0.2732,1,0.0158,1
DUK,2023-02-09,-0.0478279937326555,1.132843119818406,0.0105830492217842,0.001500461282789,0.0178918610567596,1,0.0,100.0,0.0,0.0,100,0.5929,1,0.0179,1
NTR,2023-02-15,-0.0687695109647816,1.051151824402906,0.0191422408897111,0.0101261677437235,0.0085655805909944,1,0.0,100.0,0.0,0.0,100,0.672,1,0.0086,1
CF,2023-02-15,-0.0068223928282715,1.1872271996324375,0.0288665599657389,0.0101261677437235,0.0149391185200693,1,0.0,100.0,0.0,0.0,100,-0.1618,0,0.0149,0
LNG,2023-02-23,0.0948578636095249,1.2011220944664691,0.0400027505008052,-0.0294795503774229,0.009269632110838,1,0.0,100.0,0.0,0.0,100,-0.4797,1,0.0093,1
FRO,2023-02-28,0.0875574864723948,1.134223264394312,0.0233660334457019,-0.0294405245389945,-0.0376059274615627,0,0.0,100.0,0.0,0.0,100,-0.4845,1,-0.0376,0
2222.SR,2023-03-13,0.0377954065880139,0.0002971866202137,0.0051453541054465,-0.0312964059131651,-0.0465211479777823,0,0.0,100.0,0.0,0.0,100,-0.8027,0,-0.0465,1
PEP,2023-04-25,0.0337857587160511,0.9152459751162236,0.0081332792084896,-0.0154682783079888,0.013388958839048,1,0.0,100.0,0.0,0.0,100,-0.4845,1,0.0134,1
NEE,2023-04-25,-0.0025633165007388,0.7340778053819776,0.0078896278364738,-0.0154682783079888,-0.0241585314198425,0,0.0,100.0,0.0,0.0,100,-0.5815,0,-0.0242,1
ADM,2023-04-25,-0.0720139167433321,0.8085779747048086,0.0231138385974059,-0.0154682783079888,-0.0050065971747251,0,0.0,100.0,0.0,0.0,100,0.3117,0,-0.005,1
KEX,2023-04-27,0.0244115128251319,1.1764574429453338,0.0276937841848765,-0.0043456893265475,0.0036879735635527,1,0.0,100.0,0.0,0.0,100,0.092,1,0.0037,1
CAT,2023-04-27,-0.0431021499497636,0.9674658357616148,0.011001394821824,-0.0043456893265475,-0.0184294593594545,0,0.0,100.0,0.0,0.0,100,-0.5815,1,-0.0184,0
HON,2023-04-27,0.008530853632387,0.9630455684287031,0.0198952828289273,-0.0043456893265475,-0.0120334703957018,0,0.0,100.0,0.0,0.0,100,-0.4845,1,-0.012,0
XOM,2023-04-28,0.0151840124248644,0.907827076236386,0.0128572433273456,0.0043220727571121,-0.081629071259015,0,0.0,100.0,0.0,0.0,100,0.483,1,-0.0816,0
CVX,2023-04-28,-0.0123034563624834,0.8493279243762019,0.0120699207287774,0.0043220727571121,-0.0496501086146225,0,0.0,100.0,0.0,0.0,100,0.0565,0,-0.0497,1
CF,2023-05-01,-0.0337094044308324,0.8262983874877766,0.0170897758259551,0.0088132298850601,-0.0607367212558896,0,0.0,100.0,0.0,0.0,100,-0.4888,1,-0.0607,0
LNG,2023-05-02,-0.0074464028737876,1.2537385202329243,0.0156961623547632,-0.0032994715506169,0.0045953785895669,1,0.0,100.0,0.0,0.0,100,0.5929,0,0.0046,0
SHEL,2023-05-04,-0.0225663444871129,1.355295048318161,0.0185313935913597,-0.0023392687899028,0.016852188348414,1,0.0,100.0,0.0,0.0,100,0.0224,0,0.0169,0
2222.SR,2023-05-09,0.0181817597886395,1.682249372058429,0.0174327657516787,-0.0120213147024876,-0.0357142401738475,0,0.0,100.0,0.0,0.0,100,0.6875,0,-0.0357,1
DUK,2023-05-09,-0.0083940861337905,1.0153983175268062,0.0095797792272474,-0.0120213147024876,-0.0313843205835177,0,0.0,100.0,0.0,0.0,100,-0.4845,1,-0.0314,0
NTR,2023-05-10,-0.092913286368479,1.425168128133837,0.0251484186419404,-0.0064016676269371,-0.0356692514768762,0,0.0,100.0,0.0,0.0,100,0.2547,0,-0.0357,1
DE,2023-05-19,-0.0442704179349148,1.3075162889053014,0.0144961845078753,0.0139759039846493,-0.0174390944067327,0,0.0,100.0,0.0,0.0,100,-0.4888,0,-0.0174,1
FRO,2023-05-31,-0.0439783354193293,1.2965477312603482,0.0338693862348878,-0.001839203689498,-0.0099080127149895,0,0.0,100.0,0.0,0.0,100,0.092,0,-0.0099,1
PEP,2023-07-13,0.0103986204068137,1.074523331130012,0.0129119398106721,0.0130015487747279,0.0094385877138413,1,0.0,100.0,0.0,0.0,100,0.092,1,0.0094,1
CVX,2023-07-23,0.027363346380511,0.8459438822491233,0.0146111578676217,0.0103211421028451,0.0113705446627343,1,0.0,100.0,0.0,0.0,100,0.483,1,0.0114,1
ADM,2023-07-25,0.1003834995535811,0.9702057010227896,0.0130862304819768,0.0137107664922068,-0.0124345349836448,0,0.0,100.0,0.0,0.0,100,0.769,0,-0.0124,1
